"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_3905"	-9.88539352231996e-09	-9.88593817901773e-09	-9.88812194223082e-09	-9.8869763724041e-09	-9.88698580956787e-09	-9.88623135526525e-09	-9.88794262717389e-09	-9.88788559860013e-09	-9.88659676418991e-09	-9.88650829794864e-09	-9.88641855921281e-09	-9.88702420462392e-09	-9.88612577174616e-09	-9.88732353994449e-09	-9.88826338323591e-09	-9.88728417976225e-09	-9.8857980235193e-09	-9.88832937206998e-09	-9.88667237053195e-09	-9.88582700841364e-09	-9.88522216307487e-09	-1.42379418437864e-09	-9.8838558429707e-09	-9.88582863086642e-09	-9.88574726758386e-09	-9.88570803288538e-09	-9.88553270949322e-09	-9.88617951016244e-09
"HMR_3907"	1.82012995362138e-08	1.69592638730683e-08	2.14418655455168e-08	1.88123940405306e-08	1.98900607662625e-08	1.98000963485699e-08	1.8716708436389e-08	2.08956647082699e-08	2.00476371805984e-08	1.9071122490655e-08	1.65431187846276e-08	1.69013013439879e-08	2.04648834125574e-08	1.92009055456934e-08	2.09430860921934e-08	2.1265818028828e-08	1.9124497746399e-08	2.14995067631034e-08	2.03733319186051e-08	2.0053713656858e-08	1.89424567247576e-08	3.77932938290537e-10	1.73186178605833e-08	1.84900819927577e-08	1.94296761071819e-08	1.70209814468722e-08	1.99640684569492e-08	2.02179443304545e-08
"HMR_4097"	3.54921259214534e-05	2.22272246987487e-05	1.78892053683634e-05	2.63027717354918e-05	2.25703004466585e-05	3.09186614119528e-05	1.90526811836648e-05	2.37740689604899e-05	1.5567411579364e-05	1.64154701840856e-05	3.82291603788974e-05	4.16800696593247e-05	2.56087160485866e-05	3.14573707193667e-05	6.02648859840136e-05	2.22156621753147e-05	1.94054749356789e-05	3.49871357560196e-05	4.22173456195852e-05	5.86965741806037e-05	4.12827074890586e-05	0.000469105062704427	8.54297816514022e-05	5.02123952723391e-05	2.70400743184901e-05	2.1629906265192e-05	4.34930764153418e-05	2.82633421487101e-05
"HMR_4099"	1.79972026180799e-05	1.6102164288286e-05	1.68965438837227e-05	1.16366621416348e-05	1.81546045766998e-05	1.38918174115553e-05	1.82737713664423e-05	2.21022830185437e-05	1.04555112934112e-05	1.19527959579485e-05	2.96910017275694e-05	2.6546053260754e-05	2.31498367974571e-05	3.96794859776752e-05	1.63960770331339e-05	2.50402928055243e-05	1.87155248620993e-05	2.02546698462957e-05	2.5903648911183e-05	2.6449287604079e-05	1.47140277661939e-05	0.000494037387683322	2.65068565958048e-05	1.75521129812958e-05	1.5399329153314e-05	1.25213779736884e-05	2.60473390167362e-05	2.04477869689078e-05
"HMR_4108"	0.00107466731962711	0.000810804466559306	0.000686926023415475	0.00110547118330697	0.000855332445066615	0.00126959157763047	0.000762009655490818	0.000831735755494358	0.000658039323669664	0.000611592973087425	0.00127230621019957	0.00124973119994789	0.000802020183684865	0.000948716785858759	0.00248765076118769	0.000755561483987819	0.000706379504041336	0.00122486224287201	0.00113898394253297	0.00166965909076371	0.0011809798869997	0.000933586960387689	0.0019527834114631	0.00151726614604889	0.000871769865700647	0.000881411351637516	0.00118840701995426	0.000885116757987602
"HMR_4133"	0.00107466731960724	0.000810804466538711	0.000686926023390912	0.00110547118001957	0.000855332445045617	0.00126959157761526	0.000762009655466256	0.000831735755473205	0.000658039323636364	0.000611592973067478	0.00127230621018087	0.00124973119992775	0.000802020183665206	0.000948716785841207	0.00248765076163945	0.000755561483966804	0.000706379504020801	0.00122486224285109	0.00113898394251235	0.00166965909074441	0.00118097988698164	0.0009335869525707	0.00195278341144607	0.00151726614602752	0.00087176986568121	0.00088141135172247	0.00118840701993531	0.000885116757971514
"HMR_4137"	0.00139701229358284	0.000637566025896244	0.000599454421672699	0.000304012433734374	0.00079863210206393	0.00132952388820494	0.000564175218617953	0.0010676287839339	0.000654398073945576	0.000990379291646592	0.00101489353851022	0.000742365998435732	0.00183741056208232	0.00147716940019563	0.000539330206511547	0.000970902574598082	0.00127003956468224	0.000679995613455697	0.00152539505238141	0.00215075034240898	0.00165787157928392	0.105803884161355	0.00238279670631856	0.00124292482270683	0.00138916391354101	0.000713175170525341	0.00229778169076219	0.00144413996036592
"HMR_4281"	0.161492340179432	0.152617726177792	0.14652049334391	0.151588683187811	0.155041157347995	0.134072180756402	0.151242445012081	0.149393623156363	0.164623642823047	0.144290002555259	0.164992537830181	0.154912628865425	0.158381581094171	0.139834547830726	0.149473462939841	0.155814732597271	0.152130929754152	0.153379635633145	0.171652142592791	0.169450467726566	0.153983698028041	0.13467008751688	0.167494077919732	0.157093016334939	0.158148225138122	0.186098191027713	0.170567369187278	0.143423020333048
"HMR_4388"	-0.119862925406651	-0.119438799156051	-0.126979598407494	-0.111694846511102	-0.151368538597351	-0.0854151764898538	-0.136191422064731	-0.116160796862153	-0.143365061345621	-0.108376885024636	-0.141971770192478	-0.120993229656959	-0.128519633955855	-0.0877841644564324	-0.0979217394798119	-0.132618210295922	-0.127126911571464	-0.149929391446373	-0.128522686326945	-0.121320306886643	-0.0966414441880427	-0.124377778948894	-0.1301673138011	-0.109597242961332	-0.110120684413752	-0.171829655049903	-0.144466973412093	-0.128753056856639
"HMR_4283"	0.00201993824061575	0.0016107130244674	0.00142097716748478	0.00126440875370498	0.000883585265505984	0.00116763714265351	0.00075336948364806	0.00116188846177368	0.00119134728201089	0.000918615278878422	0.00118971889492712	0.0014094875708902	0.00158901819881643	0.00122086820465913	0.000509870137099414	0.00167278452315782	0.00164413635605708	0.00113167264806534	0.00154523501493659	0.00190476555033285	0.00236761928357002	0.0042034888643048	0.00130568865154848	0.00150596352590819	0.00277911538691345	0.00105589616824421	0.00181930505023462	0.0010956022423602
"HMR_8357"	0.0153461592580746	0.0161994289514104	0.0142664481857784	0.0133640082550325	0.014479285100489	0.0177796840688859	0.0149988802601619	0.0150269873025735	0.0137908052994087	0.0165401575358658	0.0162059080219987	0.0168116404646395	0.0162382153705364	0.0160344454191777	0.0136855625671278	0.0152357968694881	0.0144351283275441	0.0143646697422853	0.0160517970728454	0.0175677497679699	0.0176253457055065	0.0216215085793916	0.0171839326418661	0.0167730627974495	0.0168895902002478	0.0143281713539641	0.0165809815272116	0.017161751654974
"HMR_4379"	0.0791472353695455	0.0654927032113156	0.0685272935688537	0.0627205024898435	0.071010560581759	0.0692682982810998	0.0682386761925456	0.0815020998919939	0.0749706746716026	0.0750303643964517	0.0696796269556602	0.069967052008133	0.0844795565128795	0.075662333855411	0.0585441802158341	0.0744673880104835	0.068410508452756	0.0675225231027193	0.0878916422106524	0.084486984294716	0.0834459738894425	0.0878601607663088	0.0817664687574286	0.0731011763179895	0.0828458271767042	0.0583940666906908	0.0797878473178926	0.0653501349744457
"HMR_4301"	0.0820409137587843	0.0696563579033439	0.0725439889279681	0.0664521418043596	0.0741211497361141	0.0720035483738422	0.0717542838246044	0.0846749217221583	0.0778657183223204	0.0770909621886451	0.0740705808301616	0.0732781051400908	0.08573102964167	0.0808631557976783	0.0606235133623176	0.0785796918292093	0.073993597671237	0.0734283438964408	0.0910480852224557	0.0901860264041573	0.0859460115520729	0.0815640084444546	0.086454029869088	0.0776678778562171	0.0868763822488345	0.0626675865842115	0.0841702793825804	0.0692683937170974
"HMR_4355"	0.0155778399140698	0.0151025892724948	0.0142326660343262	0.015426228981047	0.0168927691864068	0.0165535623947571	0.0168327446882345	0.0198177510957381	0.0160408586462681	0.0161717569549251	0.0127195008212139	0.0183008182120288	0.0169396936766402	0.0153831364192524	0.0162816097667153	0.0203274025443745	0.015417446187234	0.0139599360237055	0.0187095717513196	0.0190082804880034	0.0176399064326462	0.00448081539014925	0.0151088198195878	0.0160695508609745	0.0178803082862759	0.0169410086099299	0.0154025634858883	0.0150406254436958
"HMR_4358"	0.0839137781913169	0.072282739878479	0.0744153149740044	0.0721987462785582	0.075922578240664	0.0755959675228888	0.0737520410003881	0.0833682818260828	0.0815919002500623	0.0724492126645749	0.0785223191466612	0.0749410311203443	0.0870031803573635	0.0831470213161152	0.0658900090972186	0.0785704968846588	0.0737609048777544	0.0746278028624932	0.0976470957369804	0.0968151782366839	0.0897038008979423	0.0789140874262229	0.0900294571009544	0.0826932342542699	0.0901693846984914	0.0712305547402447	0.0884032778621034	0.073508590006065
"HMR_4360"	2.14015890219137e-05	1.34800248743925e-05	1.09309025617322e-05	1.44950381393585e-05	1.17532343275701e-05	1.44690462969258e-05	1.25547036667334e-05	1.37029866962425e-05	1.26818253174512e-05	1.85270132629806e-05	2.04973623363599e-05	1.76770286443914e-05	2.21072708949358e-05	1.28207196436819e-05	1.25302236630578e-05	1.87020722750044e-05	1.79122122138033e-05	1.37110604924701e-05	1.8999633724124e-05	2.25702933483884e-05	1.7325570554465e-05	0.000744099627412493	2.14144841367963e-05	2.73823511954111e-05	1.33857361988441e-05	2.67239118110732e-05	2.2963485423866e-05	1.92375008339044e-05
"HMR_4363"	0.409325711512693	0.366705157733318	0.37679615122802	0.379261342282194	0.381105599362249	0.381326762608588	0.376422247816187	0.410495931039882	0.402376060559337	0.382784433852631	0.393371241283095	0.380184860562153	0.427318857286475	0.393388312234432	0.354440927635343	0.391307344827947	0.378193456307978	0.378301937483425	0.439245129829039	0.440577223111183	0.428465606749551	0.443290893501963	0.425706374328693	0.398541978421548	0.440871498258032	0.354890124855869	0.414278521183405	0.358475769134882
"HMR_4365"	-0.396057767926294	-0.349870878186016	-0.360579358457516	-0.359787666534838	-0.363861654713611	-0.36336911743037	-0.357551202445453	-0.396380171037392	-0.386661009858903	-0.370186518468618	-0.377422826910682	-0.360928869136593	-0.414102598758985	-0.380756987304452	-0.334940652360788	-0.373244228093532	-0.362952505849083	-0.362163439067183	-0.421395510342364	-0.423793114244771	-0.413382390493402	-0.441086250616939	-0.412219997017562	-0.379796611152887	-0.426840704837498	-0.33333353098697	-0.40220746765694	-0.34009129253771
"HMR_4368"	0.388492130588321	0.334351408570507	0.3480693355296	0.335312240387571	0.351543700127203	0.3471666092371	0.346103585575852	0.387504534773649	0.37568881862293	0.359797436221905	0.365987483975723	0.348112294076996	0.405165438209205	0.377210138370566	0.316781058763279	0.36293014234007	0.351056012190085	0.346396496890611	0.410905471468405	0.413752904511625	0.405403595793556	0.438757854268633	0.407463144348489	0.36859322954792	0.416351211405245	0.321326164454261	0.397407582980337	0.32790039178695
"HMR_4370"	4.93973865207709e-06	3.21869023582124e-06	3.86457707401112e-06	3.41462556713238e-06	4.87876828695541e-06	2.6071130875158e-06	4.00953612655839e-06	2.62381114385852e-06	3.31467380810166e-06	3.39154892822856e-06	4.62998958286765e-06	4.48425837521962e-06	5.2271978267361e-06	5.73352623253723e-06	3.28246289690874e-06	3.19257478610492e-06	3.27303396946362e-06	3.15023975467574e-06	4.65154393070545e-06	4.28967166671081e-06	5.60797289666954e-06	0.000647361680893917	4.866068581681e-06	4.53982419621331e-06	5.3372204063754e-06	3.98812409176635e-06	4.21577123997576e-06	3.5958662345833e-06
"HMR_4371"	0.000462318429428091	0.000300154312968434	0.000387098334156414	0.000389454644342238	0.000442002245125426	0.000203025604333974	0.000355204671466602	0.000381761826555079	0.000406091610294043	0.000401544410870105	0.000363790278641654	0.000461675187865622	0.000499071414510983	0.000482598007294922	0.000247097574691798	0.000321782134561956	0.000328024126406097	0.000350933583581384	0.000550159865077403	0.000468578646578476	0.000507713450317458	0.00129235083893443	0.000403170928614019	0.000393933414103423	0.000542634790372639	0.000268585067227713	0.00046360637350307	0.000372796200324543
