"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_3905"	-9.88550374576361e-09	-9.88604685849681e-09	-9.88811351126878e-09	-6.77376036720744e-09	-9.88706444837444e-09	-9.88673947564973e-09	-9.88795194736663e-09	-9.88795812750891e-09	-9.88643164534468e-09	-9.88663683985121e-09	-9.88650148638259e-09	-9.88713131579638e-09	-9.88618651828348e-09	-9.88740373783411e-09	-9.88827358690659e-09	-9.88733724248986e-09	-9.88589876237496e-09	-9.88841460446235e-09
"HMR_3907"	1.76418101268153e-08	1.65136538461858e-08	2.12955206497513e-08	4.96834854309777e-09	1.95257707122503e-08	1.80664443990136e-08	1.85608854723987e-08	2.05412459380013e-08	2.04465135950167e-08	1.84103150777366e-08	1.62226566409522e-08	1.64577076188134e-08	2.00842215025534e-08	1.87371548596638e-08	2.08822016675937e-08	2.09979020043203e-08	1.85415764185298e-08	2.10355776358615e-08
"HMR_4097"	3.35039698654204e-05	2.0971682491033e-05	2.02022842738324e-05	0.000494136805817764	2.19149459634103e-05	1.55835162026244e-05	2.07971832693542e-05	2.30288115064177e-05	2.31696827161419e-05	1.55401681512228e-05	3.70398927326251e-05	3.9465923489328e-05	2.5474827721526e-05	3.09421852617091e-05	6.05586161086191e-05	2.18668080987366e-05	1.87924873417046e-05	3.33304512692743e-05
"HMR_4099"	1.72572436465809e-05	1.52691165449941e-05	1.86665305986305e-05	0.000499643849977568	1.7601521664236e-05	7.51439847397071e-06	1.94797485160761e-05	2.13356913915509e-05	1.46767515418599e-05	1.14663391088511e-05	2.86374855818838e-05	2.52354623486805e-05	2.29666917737995e-05	3.91709786603923e-05	1.64165281483609e-05	2.448585233596e-05	1.8395277218212e-05	1.9438269259043e-05
"HMR_4108"	0.00104083001623072	0.00078656417429521	0.000728266663188602	0.0011504844146882	0.000841776839016047	0.0008982284547987	0.000795225433590117	0.000817799196950519	0.000802585312794674	0.000592961985673144	0.00125145743683392	0.00121452253357084	0.000798411190044079	0.000938742507500903	0.00249353697411852	0.000749038195945738	0.000692401423975645	0.00119340721961785
"HMR_4133"	0.00104083001621008	0.000786564174273791	0.000728266663167111	0.00115048427659998	0.000841776838994699	0.000898228454723342	0.00079522543356781	0.000817799196929083	0.000802585312775535	0.000592961985652375	0.00125145743681481	0.00121452253354993	0.000798411190024579	0.000938742507483262	0.00249353697446937	0.000749038195924792	0.000692401423954734	0.00119340721959634
"HMR_4137"	0.00139393301824296	0.000650107825356797	0.000816786943757	0.0752102204169216	0.00084404832381253	0.000405844475148554	0.000737766007186083	0.00113879390805878	0.00142920763019545	0.00101539357140971	0.00105051944201775	0.000752921704651491	0.00201115389885227	0.00158848262072771	0.000547515950009297	0.00106392279070668	0.00132343241340961	0.000712141236743522
"HMR_4281"	0.162684775204151	0.153793037948779	0.142385580854235	0.115750246168091	0.155573434665526	0.156231710464592	0.147934448812899	0.14984213199762	0.15056330723577	0.145162804299382	0.165655881615901	0.156184773884908	0.157978677647945	0.139965145256976	0.149445476351229	0.155716097914082	0.152254081852969	0.15422221005689
"HMR_4388"	-0.115376152205561	-0.11488323966033	-0.117474500489685	-0.0743565022975627	-0.14546261566617	-0.0963440766210188	-0.126985613343415	-0.109487887568173	-0.125445497639319	-0.102304414450554	-0.137379056355225	-0.116550168162362	-0.12198162783637	-0.0806778131889461	-0.0970491856099091	-0.126497480173407	-0.122006766313132	-0.144383759671956
"HMR_4283"	0.00198455966012412	0.00157498423565077	0.00143180137651423	0.00380771580293032	0.00086624998281731	0.000988488990900844	0.000752820380726417	0.00113435690268955	0.00125318624146224	0.000890356168658607	0.00116401613864362	0.00138115078522226	0.00156915232904169	0.00119986505551521	0.00050877996541713	0.00164679764423559	0.00162429144019178	0.00110681153103038
"HMR_8357"	0.0151023929456871	0.0158547351108915	0.0152881752113025	0.0246144837808922	0.014300926335242	0.0122571255668619	0.0157530486351365	0.0148139990127442	0.0169496687855858	0.0161871104504774	0.0159455822165182	0.0164782821757112	0.0163258905619367	0.0159990098983322	0.0136886350448488	0.0152102280211698	0.0144257893093321	0.0141287290012422
"HMR_4379"	0.0857305445792379	0.0723932610038282	0.0759453524682823	0.09619513572384	0.0782699126010351	0.0720489155238688	0.0758402663037536	0.0898863470369773	0.0835768190587027	0.0836948670610816	0.0761029106265338	0.0764200218032635	0.091787182965802	0.0828184423960347	0.059783042801343	0.0817951765707513	0.074547336059212	0.0750859129862371
"HMR_4301"	0.0875445008811246	0.0755411224698557	0.0789084263122303	0.0898308882652373	0.0801576547423609	0.073941174757249	0.078172120554912	0.0916574389963208	0.0851642311570888	0.0841759883930182	0.0796394894166193	0.0786303164745513	0.0916681693979738	0.08701176650362	0.061702335268471	0.0847337905119578	0.0793316673421621	0.0801064930412756
"HMR_4355"	0.0150760987623507	0.0141369881474412	0.0134429665443494	0.00486682033211687	0.0156315306224556	0.0175949454694393	0.015481275050102	0.0182840294038604	0.0145380688154563	0.0157252835614588	0.0124182426066453	0.0171767635208748	0.0160207592027291	0.0145914940457786	0.0160992759258463	0.0191661405781136	0.0150224965509529	0.0132602054164235
"HMR_4358"	0.0849848073591299	0.0736655119254322	0.0756212397752401	0.0801099477097957	0.0771948380860726	0.0773673724516984	0.0750674957184328	0.084973589836954	0.0825648274378756	0.0740422325175643	0.079655885224123	0.0760407005087107	0.0882658451757785	0.0843346112890807	0.0660564687908975	0.079766257700936	0.0747773661047092	0.076062320995246
"HMR_4360"	2.07360925017378e-05	1.30221776930704e-05	1.03530372160812e-05	0.000606228300324151	1.13806216393967e-05	1.54187788661253e-05	1.17823753278126e-05	1.29508631286852e-05	1.13683836303088e-05	1.78306484883754e-05	1.96592095745139e-05	1.70817942901916e-05	2.10719650291295e-05	1.22165570162509e-05	1.2478099379117e-05	1.78835603612717e-05	1.7689880046916e-05	1.32060942702879e-05
"HMR_4363"	0.423720610302162	0.382636949486036	0.391852706721859	0.463868601089945	0.397419352600775	0.400245400210959	0.392456424258347	0.429547200280108	0.416329185372895	0.401680014846278	0.407297471887366	0.394822600245524	0.443706331250534	0.409659542309183	0.356871740444616	0.407166424467806	0.391209236460881	0.395155755957332
"HMR_4365"	-0.411220690920609	-0.366920815073894	-0.377127005902321	-0.460959822196536	-0.381396278057372	-0.380472956716032	-0.375331226696416	-0.416617927844882	-0.402878474274884	-0.390082871229769	-0.392287359386216	-0.37677484356277	-0.431472881832928	-0.398015402747624	-0.337599099942484	-0.390471002800065	-0.376858436809153	-0.380238876056418
"HMR_4368"	0.404477827621724	0.352565724230565	0.36612957804095	0.456974845963638	0.37020740278358	0.361271738709429	0.36536065095684	0.408738893048043	0.394343786409857	0.380624676609137	0.381687562697776	0.365059893533492	0.42345123386673	0.395521303904859	0.319674999270348	0.381419822474912	0.366030300825808	0.365834612528743
"HMR_4370"	5.10442939239797e-06	3.34157037722384e-06	3.9524205856278e-06	0.000489363892543688	5.0349034178623e-06	2.78753391324231e-06	4.09685539856536e-06	2.71182614886033e-06	3.32411897880943e-06	3.55042495497019e-06	4.74813054100384e-06	4.63151386774208e-06	5.36230419642114e-06	5.9146910835956e-06	3.30703717894877e-06	3.27367593207519e-06	3.38758510191627e-06	3.27671779279762e-06
"HMR_4371"	0.000468460862083455	0.000305422965190882	0.000390551684787262	0.00128940088507413	0.000448449069240103	0.000209165867416626	0.000358641825163067	0.000387714768051572	0.000406594444436974	0.000409365455936183	0.00036812847556414	0.0004685772727708	0.000504516603493861	0.000489020262305623	0.000248020464115266	0.000325586736767046	0.0003323886730741	0.000357261060663957
"HMR_4372"	0.000468460863347632	0.000305422966455667	0.000390551686051553	0.00128940024785087	0.00044844907050383	0.00020916586874736	0.000358641826426843	0.000387714769315407	0.000406594445700889	0.000409365457200229	0.000368128476829124	0.00046857727403506	0.000504516604758226	0.000489020263570865	0.000248020465330798	0.000325586738030997	0.00033238867433841	0.000357261061927868
"HMR_4373"	-0.404984798485217	-0.352896451346735	-0.366551548348915	-0.459388047319841	-0.370689130038447	-0.361498377948538	-0.365742034922777	-0.409156387180211	-0.394778241622073	-0.381056831382391	-0.382095764117355	-0.365564155176865	-0.4239978365819	-0.396060766707733	-0.319946217095464	-0.381774912538808	-0.366390996170612	-0.366220717813722
"HMR_4375"	-0.1732251995644	-0.147896388970341	-0.154799990502441	-0.185331261505614	-0.158371810119564	-0.145938712342066	-0.153972222201153	-0.181483436606317	-0.168678424244778	-0.167803438343108	-0.155689721632464	-0.155017848139243	-0.183405367501209	-0.169806416399412	-0.121463429276619	-0.166490474036864	-0.153830091538665	-0.155141911640759
"HMR_4377"	4.98502426282154e-05	3.8000687765488e-05	5.3793336450425e-05	0.000516109444509434	5.576222434729e-05	5.13839456812115e-05	4.01705358189016e-05	6.03548465205762e-05	6.26308716188513e-05	6.74224622160518e-05	5.26848754282106e-05	3.24941170976026e-05	4.99887697892668e-05	2.37969319655944e-05	2.19551478540218e-05	3.84970315507723e-05	4.89167707391592e-05	5.04999658608456e-05
"HMR_4381"	-0.0460945739276302	-0.0373732887238103	-0.0411056175274201	-0.0447683542365518	-0.0391824930391777	-0.0421413803186328	-0.0353483094098594	-0.0423705999909587	-0.0450084188638471	-0.0489975247549692	-0.0394263618422679	-0.0316999473453868	-0.0435028126231465	-0.0410510292181581	-0.0210723755655698	-0.040769047305982	-0.0378594690278859	-0.0367463106430786
